,MotID,LidID,EinstID,Timastimpill
211,34,53,513,2003-03-27 23:35:10.340
212,34,54,175,2003-03-20 16:53:58.560
213,34,55,447,2003-03-31 13:18:26.937
214,34,60,1050,2003-04-01 07:46:18.730
215,34,61,455,2003-04-01 07:51:09.780
216,34,79,1245,2003-03-31 11:20:23.123
217,34,85,285,2003-03-26 21:53:18.217
218,34,89,397,2003-04-29 12:12:17.950
219,34,90,85,2003-04-29 12:13:27.983
220,34,93,461,2003-03-31 11:26:48.890
221,34,95,174,2003-04-15 07:41:00.810
222,34,118,1153,2003-04-01 15:05:30.030
223,34,138,177,2003-04-01 16:25:37.607
224,34,140,153,2003-04-01 16:40:36.217
225,34,148,343,2003-04-29 12:10:56.763
226,34,153,47,2003-03-26 13:32:02.123
227,34,154,158,2003-03-31 22:25:12.797
228,34,170,1187,2003-03-24 16:25:19.340
229,34,171,1316,2003-03-24 16:39:48.483
230,34,351,380,2003-04-01 11:06:10.357
231,34,352,1416,2003-04-23 16:00:19.857
232,34,356,588,2003-04-01 15:48:50.280
233,34,363,1266,2003-04-13 12:49:20.497
234,34,512,291,2003-04-15 15:56:30.983
235,34,1014,453,2003-04-25 14:37:10.560
236,34,1015,453,2003-04-25 14:48:48.310
237,34,1073,1026,2003-04-03 08:56:23.670
238,34,1088,47,2003-03-26 13:35:12.593
239,34,1209,1026,2003-03-04 19:05:12.903
240,34,1255,1004,2003-03-15 17:50:25.733
241,34,1264,1364,2003-04-01 14:31:10.043
242,34,1272,439,2003-04-01 15:32:27.000
243,34,1377,579,2003-04-23 08:53:08.153
244,35,127,473,2003-03-13 20:48:17.793
245,35,145,797,2003-03-14 16:25:06.543
246,35,658,905,2003-03-10 16:44:23.717
247,36,671,1202,2003-04-08 03:08:54.297
248,38,1049,153,2003-03-20 13:47:19.607
249,39,23,143,2003-02-07 17:32:16.403
250,39,38,172,2003-02-07 17:47:07.247
251,39,85,533,2003-02-07 17:35:55.107
252,39,170,1187,2003-02-07 17:45:37.153
253,39,171,894,2003-02-07 17:41:56.843
254,39,356,1153,2003-02-07 17:42:22.217
255,40,676,1083,2003-04-03 20:26:10.140
256,40,682,143,2003-04-08 21:01:44.717
257,40,683,189,2003-04-08 21:02:59.340
258,40,687,1026,2003-04-08 21:04:30.780
259,40,689,852,2003-04-08 21:00:40.500
260,43,156,265,2003-11-11 19:19:00.687
261,43,1460,724,2003-11-04 14:03:45.547
262,44,61,455,2003-11-25 18:26:04.733
263,44,71,630,2003-11-16 17:40:39.480
264,44,93,130,2003-11-25 09:05:19.170
265,44,170,1187,2003-11-16 13:04:53.187
266,44,171,1316,2003-11-16 13:10:11.937
267,44,458,231,2003-11-24 21:59:04.343
268,44,463,282,2003-11-25 13:26:38.717
269,44,671,1202,2003-11-13 01:20:36.013
270,44,1470,993,2003-11-25 16:28:13.717
271,45,72,178,2003-10-03 18:29:57.280
272,46,1010,1153,2003-10-10 16:15:05.560
273,46,1011,1370,2003-10-10 16:10:30.890
274,46,1019,185,2003-10-09 14:04:31.653
275,46,1021,54,2003-10-09 14:12:10.233
276,46,1033,54,2003-10-10 16:07:20.827
277,46,1049,153,2003-10-25 17:59:45.623
278,47,79,130,2004-03-25 09:43:38.623
279,47,93,461,2004-03-25 09:49:47.187
280,47,458,1469,2004-03-24 20:01:17.937
281,48,27,621,2003-12-30 08:30:13.810
282,48,54,175,2003-12-29 14:34:17.857
283,48,132,70,2003-12-27 15:24:00.700
284,48,510,1004,2003-12-21 13:24:12.450
285,48,510,1009,2003-12-21 12:53:00.577
286,48,763,1330,2003-12-19 17:11:11.090
287,48,1049,153,2003-12-29 16:24:04.030
288,48,1499,1457,2003-12-30 14:44:11.263
289,49,463,282,2004-01-06 20:30:35.530
290,49,1197,455,2004-01-06 17:39:15.530
291,50,1049,153,2004-01-19 11:53:19.717
292,53,54,175,2004-03-03 13:28:55.577
293,53,658,905,2004-02-16 14:37:26.030
294,53,1255,997,2004-02-17 12:33:08.247
295,53,1255,1009,2004-02-17 12:32:29.077
296,53,1616,421,2004-03-03 13:28:42.263
297,54,27,621,2004-03-21 15:15:35.140
298,54,37,1299,2004-03-24 21:59:55.953
299,54,39,1034,2004-03-30 10:41:08.437
300,54,52,246,2004-03-31 14:34:09.593
301,54,54,175,2004-03-31 14:38:15.577
302,54,55,237,2004-03-29 10:56:33.950
303,54,61,455,2004-03-31 15:31:06.700
304,54,71,1022,2004-03-21 15:24:47.577
305,54,79,130,2004-04-01 13:20:04.403
306,54,93,461,2004-04-01 13:26:08.043
307,54,95,174,2004-03-24 15:16:51.890
308,54,102,282,2004-03-31 15:08:47.200
309,54,118,1153,2004-03-30 22:03:42.280
310,54,170,1321,2004-03-27 14:54:55.247
311,54,170,1322,2004-03-27 14:54:39.983
312,54,171,1316,2004-03-27 15:02:47.530
313,54,360,818,2004-03-31 22:05:51.840
314,54,361,825,2004-03-31 22:28:18.157
315,54,505,177,2004-04-14 00:06:01.420
316,54,658,544,2004-03-30 11:34:46.263
317,54,763,1330,2004-03-30 19:57:28.857
318,54,768,486,2004-03-23 22:25:30.670
319,54,856,127,2004-03-30 16:56:40.310
320,54,1088,47,2004-03-30 22:33:37.543
321,54,1176,1202,2004-03-09 01:18:04.280
322,54,1255,528,2004-03-19 15:31:10.997
323,54,1255,1005,2004-03-19 15:30:55.733
324,54,1471,544,2004-03-30 11:25:52.310
325,54,1693,812,2004-04-01 15:07:03.233
326,55,1014,630,2004-03-31 10:04:39.030
327,55,1049,153,2004-03-19 08:26:50.827
328,55,1255,1001,2004-03-28 19:29:20.577
329,55,1255,1004,2004-03-28 19:28:20.403
330,55,1435,162,2004-03-30 14:01:44.263
331,56,39,1034,2004-03-23 09:35:41.357
332,56,54,175,2004-03-24 11:20:30.390
333,56,71,1022,2004-03-24 18:28:47.543
334,56,360,1044,2004-03-21 16:01:07.200
335,56,1014,630,2004-03-15 16:32:43.090
336,56,1255,1004,2004-03-22 15:01:45.077
337,56,1435,1202,2004-03-09 00:12:08.077
338,58,1616,1308,2004-03-17 13:34:10.703
339,59,71,6,2004-09-22 18:59:40.407
340,59,1010,1153,2004-09-22 21:47:47.590
341,59,1011,1370,2004-09-09 12:25:12.013
342,59,1019,185,2004-09-09 12:22:14.437
343,59,1021,54,2004-09-16 09:28:50.653
344,59,1022,689,2004-08-18 14:14:55.403
345,61,1744,965,2004-08-23 13:12:21.920
346,61,1752,1583,2004-08-30 09:32:43.857
347,61,1760,1436,2004-09-01 18:51:33.560
348,63,27,621,2004-11-17 22:02:02.230
349,63,39,1632,2004-11-16 08:48:10.050
350,64,1010,1153,2004-09-30 18:06:57.513
351,64,1011,1370,2004-09-30 18:05:48.590
352,64,1019,185,2004-09-30 17:48:51.610
353,64,1021,54,2004-09-30 17:46:13.357
354,64,1022,689,2004-09-30 17:43:18.060
355,65,27,621,2004-10-19 23:12:25.247
356,65,71,6,2004-10-19 23:18:09.950
357,65,110,245,2004-10-20 09:59:31.857
358,65,1255,1004,2004-10-21 00:04:15.763
359,65,1579,293,2004-10-20 22:46:51.793
360,65,1616,421,2004-10-15 13:29:59.373
361,66,61,455,2004-11-09 23:08:40.940
362,66,79,130,2004-11-16 12:55:19.430
363,66,79,723,2004-11-18 08:58:15.790
364,66,93,729,2004-11-19 09:19:58.823
365,66,463,282,2004-11-15 22:07:12.720
366,66,1014,630,2004-11-07 19:16:16.953
367,66,1015,961,2004-11-15 23:07:00.540
368,66,1089,475,2004-11-15 21:52:54.337
369,66,1457,545,2004-11-17 12:11:10.777
370,66,1457,678,2004-11-17 12:07:39.930
371,66,1867,204,2004-11-17 21:41:32.493
372,67,27,621,2004-11-03 21:04:35.160
373,67,360,1044,2004-11-02 22:20:25.423
374,67,1460,724,2004-11-01 16:40:00.357
375,67,1616,1308,2004-11-03 14:54:13.190
376,68,22,1236,2005-04-19 10:45:08.420
377,68,37,1299,2005-04-04 09:16:22.810
378,68,39,365,2005-04-04 09:15:05.560
379,68,55,237,2005-04-04 08:34:50.153
380,68,61,455,2005-04-05 15:53:26.843
381,68,79,130,2005-04-04 21:21:29.357
382,68,90,85,2005-03-23 09:36:09.323
383,68,93,130,2005-04-04 21:33:49.700
384,68,95,1884,2005-04-19 08:33:30.780
385,68,129,936,2005-04-20 23:42:29.140
386,68,132,1848,2005-04-12 22:31:25.357
387,68,140,153,2005-03-11 13:49:50.760
388,68,156,1074,2005-04-19 11:02:32.217
389,68,170,1320,2005-04-03 22:45:21.340
390,68,171,1159,2005-04-03 22:59:51.937
391,68,351,31,2005-04-03 22:03:49.983
392,68,351,421,2005-04-03 22:05:16.450
393,68,361,1383,2005-03-31 23:14:49.593
394,68,459,80,2005-04-04 22:00:05.030
395,68,463,282,2005-04-06 12:36:58.093
396,68,482,691,2005-04-19 11:03:09.327
397,68,498,245,2005-04-18 14:26:00.153
398,68,499,579,2005-04-08 10:35:30.077
399,68,505,177,2005-03-11 13:43:35.277
400,68,510,1004,2005-03-08 17:48:49.463
401,68,510,1645,2005-03-08 17:49:04.603
402,68,658,544,2005-03-07 23:42:10.730
403,68,856,127,2005-04-05 13:20:06.653
404,68,1014,453,2005-03-27 23:38:14.233
405,68,1015,322,2005-03-27 23:42:43.327
406,68,1015,393,2005-03-27 23:44:20.153
407,68,1089,475,2005-04-06 12:40:14.780
408,68,1175,1495,2005-04-10 19:33:09.483
409,68,1395,1611,2005-04-19 14:13:01.013
410,68,1689,642,2005-04-18 23:49:03.250
411,68,1693,993,2005-03-30 08:43:06.577
412,68,1839,128,2005-04-04 08:26:56.250
413,68,1954,1823,2005-04-09 11:02:20.967
414,68,2184,1745,2005-03-17 08:03:19.870
