,MotID,LidID,EinstID,Timastimpill
4093,46,1019,76,2003-10-09 14:02:41.687
4094,46,1019,361,2003-10-09 14:10:54.217
4095,46,1019,363,2003-10-09 14:02:41.687
4096,46,1019,952,2003-10-09 14:02:41.687
4097,46,1019,1231,2003-10-09 14:08:51.403
4098,46,1019,1259,2003-10-09 14:02:41.687
4099,46,1019,1434,2003-10-09 14:06:41.060
4100,46,1019,1435,2003-10-09 14:08:26.903
4101,46,1019,1436,2003-10-09 14:09:51.687
4102,46,1021,54,2003-10-09 14:12:09.437
4103,46,1021,208,2003-10-09 14:12:09.437
4104,46,1021,1024,2003-10-09 14:12:09.437
4105,46,1021,1218,2003-10-09 14:12:09.437
4106,46,1021,1222,2003-10-09 14:12:09.437
4107,46,1022,10,2003-10-09 14:18:21.403
4108,46,1022,79,2003-10-09 14:18:21.403
4109,46,1022,395,2003-10-09 14:18:21.403
4110,46,1022,962,2003-10-09 14:18:21.403
4111,46,1022,1220,2003-10-09 14:18:21.403
4112,46,1022,1223,2003-10-09 14:18:21.403
4113,46,1023,612,2003-10-09 14:15:07.263
4114,46,1023,1049,2003-10-09 14:15:56.310
4115,46,1023,1437,2003-10-11 19:12:00.843
4116,46,1023,1557,2004-07-28 14:06:42.547
4117,46,1023,1558,2004-07-28 14:06:46.293
4118,46,1023,1559,2004-07-28 14:06:53.577
4119,46,1049,69,2003-10-25 17:59:44.890
4120,46,1049,179,2003-10-25 17:59:44.890
4121,46,1049,518,2003-10-25 17:59:44.890
4122,46,1049,1297,2003-10-25 17:59:44.890
4123,46,1438,1391,2003-10-25 17:56:29.420
4124,46,1438,1392,2003-10-25 17:56:41.483
4125,47,79,130,2004-03-25 09:43:31.450
4126,47,79,313,2004-03-25 09:45:35.233
4127,47,79,719,2004-03-25 09:44:21.827
4128,47,79,1133,2004-03-25 09:45:17.200
4129,47,79,1245,2004-03-25 09:44:01.043
4130,47,79,1247,2004-03-25 09:44:36.013
4131,47,93,199,2004-03-25 09:46:47.403
4132,47,93,391,2004-03-25 09:48:32.437
4133,47,93,461,2004-03-25 09:49:35.310
4134,47,93,638,2004-03-25 09:47:36.623
4135,47,93,728,2004-03-25 09:48:44.920
4136,47,93,732,2004-03-25 09:47:52.577
4137,47,93,1134,2004-03-25 09:47:20.983
4138,47,151,49,2004-03-23 15:03:18.670
4139,47,151,306,2004-03-23 15:03:18.670
4140,47,151,353,2004-03-23 15:03:18.670
4141,47,151,384,2004-03-23 15:03:18.670
4142,47,151,514,2004-03-23 15:03:18.670
4143,47,151,769,2004-03-23 15:03:18.670
4144,47,151,1174,2004-03-23 15:03:18.670
4145,47,151,1261,2004-03-23 15:03:18.670
4146,47,151,1401,2004-03-23 15:03:18.670
4147,47,458,21,2004-03-24 20:11:23.263
4148,47,458,109,2004-03-24 20:07:59.937
4149,47,458,500,2004-03-24 20:07:36.187
4150,47,458,871,2004-03-24 20:08:46.513
4151,47,458,1053,2004-03-24 20:10:46.357
4152,47,458,1057,2004-03-24 20:09:08.530
4153,47,458,1444,2004-03-24 20:08:31.747
4154,47,1086,1257,2004-03-23 13:59:29.700
4155,47,1086,1490,2004-03-23 13:59:06.357
4156,47,1087,13,2004-03-22 23:50:35.310
4157,47,1087,75,2004-03-22 23:49:00.810
4158,47,1087,444,2004-03-22 23:39:57.310
4159,47,1087,488,2004-03-22 23:49:48.047
4160,47,1087,1112,2004-03-22 23:46:08.263
4161,47,1087,1113,2004-03-22 23:46:57.467
4162,47,1469,19,2004-03-23 11:48:48.107
4163,47,1469,80,2004-03-23 11:44:52.890
4164,47,1469,87,2004-03-23 11:46:56.357
4165,47,1469,110,2004-03-23 11:45:55.577
4166,47,1469,513,2004-03-23 11:50:52.513
4167,47,1469,1270,2004-03-23 11:43:56.843
4168,47,1469,1407,2004-03-23 11:48:01.077
4169,48,27,395,2003-12-30 08:30:13.437
4170,48,27,438,2003-12-30 08:30:13.437
